"Date","Regular","Mid-Grade","Premium","Diesel","E85"
2020-01-01,2.5854,2.9099,3.1707,3.0068,2.3392
2020-01-02,2.5855,2.9096,3.1715,3.0074,2.3369
2020-01-03,2.5849,2.9103,3.173,3.0095,2.3382
2020-01-04,2.5852,2.9097,3.1714,3.0131,2.3345
2020-01-05,2.5851,2.9094,3.1714,3.0156,2.3342
2020-01-06,2.5842,2.9093,3.1711,3.0155,2.3282
2020-01-07,2.5854,2.9079,3.1705,3.0163,2.3239
2020-01-08,2.5962,2.9122,3.1737,3.0174,2.3322
2020-01-09,2.5999,2.9182,3.1805,3.0173,2.3397
2020-01-10,2.5952,2.9194,3.1814,3.0164,2.3539
2020-01-11,2.588,2.9172,3.1772,3.0148,2.3416
2020-01-12,2.5835,2.9152,3.1758,3.0139,2.332
2020-01-13,2.5806,2.913,3.1749,3.0122,2.3264
2020-01-14,2.5753,2.9072,3.168,3.009,2.319
2020-01-15,2.5712,2.9029,3.1635,3.0078,2.3124
2020-01-16,2.5666,2.8985,3.1602,3.0049,2.307
2020-01-17,2.56,2.8933,3.1544,3.0012,2.2991
2020-01-18,2.5535,2.8877,3.1492,2.9987,2.2902
2020-01-19,2.5504,2.8869,3.149,2.9997,2.2869
2020-01-20,2.5475,2.8839,3.1448,2.9956,2.2847
2020-01-21,2.5425,2.8772,3.1375,2.9909,2.2792
2020-01-22,2.544,2.875,3.1347,2.9898,2.2777
2020-01-23,2.5403,2.8731,3.1343,2.9865,2.2747
2020-01-24,2.534,2.871,3.1314,2.9831,2.2734
2020-01-25,2.5257,2.8643,3.1257,2.9785,2.2713
2020-01-26,2.5207,2.8592,3.121,2.9759,2.2714
2020-01-27,2.5165,2.855,3.1171,2.9717,2.2672
2020-01-28,2.5055,2.8456,3.1081,2.9674,2.2557
2020-01-29,2.4956,2.8375,3.0992,2.9636,2.2423
2020-01-30,2.489,2.8304,3.0931,2.9582,2.2315
2020-01-31,2.4848,2.8258,3.0885,2.9522,2.23
2020-02-01,2.4772,2.8207,3.0831,2.9474,2.2196
2020-02-02,2.4734,2.8189,3.0793,2.9449,2.2137
2020-02-03,2.4698,2.8153,3.0752,2.9417,2.2086
2020-02-04,2.4633,2.8082,3.0699,2.9347,2.2042
2020-02-05,2.4579,2.8023,3.0644,2.9297,2.1953
2020-02-06,2.4523,2.7992,3.0608,2.9249,2.1867
2020-02-07,2.448,2.7942,3.057,2.9184,2.1873
2020-02-08,2.4401,2.7874,3.0495,2.9128,2.1881
2020-02-09,2.435,2.7837,3.046,2.9109,2.1845
2020-02-10,2.4315,2.7805,3.0432,2.9059,2.1817
2020-02-11,2.4264,2.775,3.0369,2.9004,2.1733
2020-02-12,2.4247,2.7706,3.0316,2.8978,2.162
2020-02-13,2.4264,2.7722,3.0343,2.8942,2.1619
2020-02-14,2.4376,2.7776,3.0404,2.8902,2.1756
2020-02-15,2.4411,2.7807,3.043,2.8861,2.1806
2020-02-16,2.4402,2.7829,3.045,2.8857,2.1782
2020-02-17,2.4391,2.7816,3.0447,2.8818,2.1781
2020-02-18,2.4413,2.7801,3.0442,2.8771,2.1856
2020-02-19,2.4503,2.7863,3.0486,2.8794,2.1874
2020-02-20,2.4591,2.7933,3.0567,2.8793,2.1943
2020-02-21,2.468,2.8004,3.0628,2.8777,2.2042
2020-02-22,2.4734,2.8066,3.0684,2.8763,2.2042
2020-02-23,2.4736,2.8079,3.0694,2.8759,2.2057
2020-02-24,2.4739,2.8097,3.072,2.8725,2.2024
2020-02-25,2.4721,2.808,3.0701,2.8722,2.2018
2020-02-26,2.4716,2.8049,3.0667,2.8711,2.1959
2020-02-27,2.4674,2.8016,3.0629,2.8673,2.1882
2020-02-28,2.4584,2.7959,3.0571,2.8612,2.1779
2020-02-29,2.4473,2.7881,3.05,2.8559,2.1687
2020-03-01,2.4405,2.7824,3.045,2.8526,2.1616
2020-03-02,2.4348,2.7775,3.0402,2.8482,2.1565
2020-03-03,2.424,2.7671,3.0305,2.8428,2.1417
2020-03-04,2.4158,2.759,3.0221,2.84,2.1364
2020-03-05,2.4083,2.752,3.0164,2.8359,2.1272
2020-03-06,2.4041,2.7464,3.0109,2.8314,2.1247
2020-03-07,2.3964,2.741,3.0044,2.8251,2.1232
2020-03-08,2.3877,2.7354,2.9984,2.8206,2.1109
2020-03-09,2.3807,2.7282,2.9932,2.8136,2.105
2020-03-10,2.3646,2.7169,2.9805,2.8038,2.0837
2020-03-11,2.345,2.7024,2.9642,2.7952,2.0649
2020-03-12,2.3246,2.6858,2.9475,2.7827,2.0489
2020-03-13,2.3034,2.6678,2.9297,2.7701,2.0388
2020-03-14,2.281,2.6502,2.9113,2.7578,2.021
2020-03-15,2.2678,2.6381,2.8994,2.7505,2.0116
2020-03-16,2.2569,2.6273,2.889,2.7408,1.9984
2020-03-17,2.2367,2.6097,2.8714,2.7299,1.9801
2020-03-18,2.2171,2.5936,2.854,2.7212,1.9624
2020-03-19,2.1958,2.5744,2.8359,2.7096,1.9438
2020-03-20,2.1735,2.5568,2.8182,2.6967,1.9283
2020-03-21,2.1529,2.5364,2.7989,2.6846,1.9159
2020-03-22,2.1398,2.5236,2.786,2.6776,1.9012
2020-03-23,2.1293,2.5106,2.7741,2.6675,1.8903
2020-03-24,2.1085,2.4937,2.7561,2.658,1.8681
2020-03-25,2.0891,2.4764,2.7377,2.6504,1.8526
2020-03-26,2.069,2.4603,2.7207,2.6394,1.8399
2020-03-27,2.0506,2.4413,2.7027,2.6298,1.8332
2020-03-28,2.0329,2.4252,2.6857,2.6215,1.8285
2020-03-29,2.0223,2.4138,2.6746,2.6162,1.8244
2020-03-30,2.0126,2.4032,2.6642,2.608,1.8102
2020-03-31,1.9973,2.3879,2.6479,2.6,1.8071
2020-04-01,1.9843,2.3743,2.6353,2.5964,1.7945
2020-04-02,1.9702,2.3621,2.624,2.589,1.7789
2020-04-03,1.9563,2.3505,2.6104,2.5805,1.7712
2020-04-04,1.9442,2.3387,2.5991,2.576,1.7541
2020-04-05,1.9361,2.3309,2.5927,2.5731,1.7475
2020-04-06,1.9294,2.3224,2.5839,2.5667,1.7425
2020-04-07,1.9177,2.3092,2.571,2.5591,1.7323
2020-04-08,1.9076,2.3005,2.5602,2.5571,1.7161
2020-04-09,1.8955,2.2884,2.5489,2.5508,1.706
2020-04-10,1.8833,2.2764,2.5362,2.542,1.6984
2020-04-11,1.8726,2.2644,2.5252,2.5362,1.6807
2020-04-12,1.8661,2.2585,2.5195,2.5352,1.6721
2020-04-13,1.8617,2.2535,2.5152,2.5328,1.6614
2020-04-14,1.8506,2.2387,2.5013,2.5238,1.6493
2020-04-15,1.8429,2.2303,2.4909,2.5204,1.6429
2020-04-16,1.8344,2.2225,2.4834,2.5151,1.6397
2020-04-17,1.8275,2.2153,2.4766,2.5106,1.6464
2020-04-18,1.8209,2.2076,2.4701,2.5053,1.6404
2020-04-19,1.8169,2.2038,2.4653,2.5035,1.6361
2020-04-20,1.8141,2.2006,2.4629,2.4994,1.6287
2020-04-21,1.8062,2.1914,2.4532,2.4934,1.6257
2020-04-22,1.8,2.1833,2.4449,2.4896,1.6188
2020-04-23,1.7919,2.1762,2.4381,2.4825,1.6108
2020-04-24,1.7858,2.1704,2.4328,2.4769,1.6087
2020-04-25,1.78,2.1636,2.4265,2.4704,1.61
2020-04-26,1.777,2.1591,2.4229,2.4672,1.6077
2020-04-27,1.7741,2.154,2.4187,2.4621,1.6078
2020-04-28,1.7685,2.1456,2.4099,2.4545,1.6059
2020-04-29,1.7682,2.1431,2.4067,2.4502,1.6005
2020-04-30,1.7724,2.1448,2.4099,2.4449,1.6046
2020-05-01,1.777,2.1458,2.4121,2.4401,1.6142
2020-05-02,1.7815,2.1473,2.414,2.4368,1.6301
2020-05-03,1.7837,2.1496,2.4176,2.4373,1.641
2020-05-04,1.784,2.1482,2.4188,2.4336,1.6462
2020-05-05,1.7848,2.1478,2.4173,2.4293,1.6564
2020-05-06,1.7951,2.1535,2.4214,2.4285,1.6609
2020-05-07,1.8125,2.1653,2.4336,2.4265,1.6826
2020-05-08,1.8257,2.177,2.4444,2.4232,1.6972
2020-05-09,1.8389,2.1901,2.4566,2.4219,1.7102
2020-05-10,1.8438,2.1991,2.4644,2.4214,1.7262
2020-05-11,1.8475,2.206,2.4709,2.4202,1.7327
2020-05-12,1.854,2.2098,2.4746,2.4177,1.7493
2020-05-13,1.8605,2.2135,2.4778,2.4179,1.7606
2020-05-14,1.8658,2.2211,2.4857,2.4168,1.7627
2020-05-15,1.8689,2.2246,2.4906,2.4142,1.7659
2020-05-16,1.8733,2.2275,2.4948,2.4128,1.7703
