"Date","Regular","Diesel"
2021-04-20,2.872,3.0787
2021-04-21,2.878,3.0791
2021-04-22,2.8851,3.08
2021-04-23,2.8871,3.0803
2021-04-24,2.8859,3.0796
2021-04-25,2.8862,3.0813
2021-04-26,2.8876,3.082
2021-04-27,2.8854,3.0788
2021-04-28,2.8854,3.0776
2021-04-29,2.8895,3.0788
2021-04-30,2.8951,3.0803
2021-05-01,2.8993,3.0832
2021-05-02,2.901,3.0863
2021-05-03,2.9041,3.087
2021-05-04,2.9133,3.0881
2021-05-05,2.9269,3.0924
2021-05-06,2.9413,3.0985
2021-05-07,2.9536,3.1037
2021-05-08,2.9598,3.1087
2021-05-09,2.9622,3.1115
2021-05-10,2.9669,3.1149
2021-05-11,2.9854,3.1249
2021-05-12,3.0082,3.1361
2021-05-13,3.0276,3.1496
2021-05-14,3.0386,3.1596
2021-05-15,3.0423,3.1663
2021-05-16,3.0436,3.1689
2021-05-17,3.0447,3.1711
2021-05-18,3.0433,3.1724
2021-05-19,3.0429,3.1724
2021-05-20,3.0431,3.175
2021-05-21,3.0423,3.176
2021-05-22,3.0398,3.1761
2021-05-23,3.0387,3.1779
2021-05-24,3.0394,3.1784
2021-05-25,3.0362,3.1769
2021-05-26,3.0353,3.1764
2021-05-27,3.0408,3.1786
2021-05-28,3.0439,3.1806
2021-05-29,3.0443,3.1827
2021-05-30,3.0446,3.1847
2021-05-31,3.0463,3.1857
2021-06-01,3.045,3.1847
2021-06-02,3.0412,3.185
2021-06-03,3.0424,3.1864
2021-06-04,3.047,3.1902
2021-06-05,3.0494,3.1936
2021-06-06,3.0507,3.1966
2021-06-07,3.053,3.199
2021-06-08,3.0602,3.2006
2021-06-09,3.0671,3.2019
2021-06-10,3.0728,3.2051
2021-06-11,3.0768,3.2082
2021-06-12,3.077,3.2113
2021-06-13,3.0781,3.2139
2021-06-14,3.0797,3.2163
2021-06-15,3.0765,3.2158
2021-06-16,3.0748,3.2167
2021-06-17,3.0748,3.2189
2021-06-18,3.0729,3.219
2021-06-19,3.0701,3.2194
2021-06-20,3.0697,3.2216
2021-06-21,3.0714,3.2247
2021-06-22,3.0692,3.2228
2021-06-23,3.0716,3.2223
2021-06-24,3.0778,3.2247
2021-06-25,3.0858,3.2289
2021-06-26,3.092,3.2337
2021-06-27,3.0945,3.2369
2021-06-28,3.0985,3.2399
2021-06-29,3.1087,3.2411
2021-06-30,3.1183,3.2429
2021-07-01,3.1232,3.2453
2021-07-02,3.1258,3.2454
2021-07-03,3.1274,3.2465
2021-07-04,3.1298,3.2491
2021-07-05,3.1337,3.2517
2021-07-06,3.1337,3.2504
2021-07-07,3.1366,3.2546
2021-07-08,3.1411,3.2572
2021-07-09,3.1429,3.2597
2021-07-10,3.143,3.2602
2021-07-11,3.1438,3.2625
2021-07-12,3.1468,3.2648
2021-07-13,3.1455,3.2636
2021-07-14,3.1473,3.2641
2021-07-15,3.1545,3.2673
2021-07-16,3.1635,3.27
2021-07-17,3.1669,3.2718
2021-07-18,3.1678,3.2737
2021-07-19,3.1699,3.2755
2021-07-20,3.166,3.2733
2021-07-21,3.1623,3.2721
2021-07-22,3.1586,3.271
2021-07-23,3.1553,3.2701
2021-07-24,3.1545,3.2701
2021-07-25,3.1545,3.2722
2021-07-26,3.156,3.2742
2021-07-27,3.1575,3.2736
2021-07-28,3.1611,3.2739
2021-07-29,3.1656,3.276
2021-07-30,3.1677,3.2783
2021-07-31,3.1706,3.2808
2021-08-01,3.1733,3.2842
2021-08-02,3.1764,3.2869
2021-08-03,3.1823,3.2889
2021-08-04,3.1884,3.2907
2021-08-05,3.1901,3.2931
2021-08-06,3.1892,3.2937
2021-08-07,3.1878,3.2938
2021-08-08,3.1882,3.2967
2021-08-09,3.1902,3.2987
2021-08-10,3.1857,3.2941
2021-08-11,3.1846,3.2932
2021-08-12,3.1857,3.294
2021-08-13,3.1861,3.2928
2021-08-14,3.1846,3.2922
2021-08-15,3.1842,3.2955
2021-08-16,3.1871,3.2967
2021-08-17,3.183,3.2936
2021-08-18,3.1796,3.2911
2021-08-19,3.1766,3.2893
2021-08-20,3.1718,3.2874
2021-08-21,3.1655,3.2836
2021-08-22,3.1626,3.2833
2021-08-23,3.1617,3.2849
2021-08-24,3.1525,3.2781
2021-08-25,3.1474,3.275
2021-08-26,3.1458,3.2741
2021-08-27,3.1473,3.275
2021-08-28,3.1479,3.275
2021-08-29,3.1477,3.276
2021-08-30,3.1508,3.2777
2021-08-31,3.1589,3.2793
2021-09-01,3.1742,3.2852
2021-09-02,3.1829,3.2889
2021-09-03,3.1843,3.2897
2021-09-04,3.1842,3.2909
2021-09-05,3.1846,3.2943
2021-09-06,3.1875,3.2975
2021-09-07,3.1861,3.297
2021-09-08,3.1813,3.2958
2021-09-09,3.1806,3.295
2021-09-10,3.1788,3.2944
2021-09-11,3.1759,3.2943
2021-09-12,3.1748,3.2951
2021-09-13,3.1762,3.296
2021-09-14,3.1772,3.2935
2021-09-15,3.1833,3.2958
2021-09-16,3.1907,3.2985
2021-09-17,3.1937,3.2997
2021-09-18,3.1933,3.3016
2021-09-19,3.1935,3.3036
2021-09-20,3.1954,3.3067
2021-09-21,3.192,3.3049
2021-09-22,3.19,3.3046
2021-09-23,3.189,3.306
2021-09-24,3.1886,3.3072
2021-09-25,3.1876,3.3096
2021-09-26,3.1871,3.3118
2021-09-27,3.1888,3.315
2021-09-28,3.1867,3.3173
2021-09-29,3.1876,3.3257
2021-09-30,3.1894,3.3314
2021-10-01,3.1922,3.3375
2021-10-02,3.1942,3.3449
2021-10-03,3.1961,3.3495
2021-10-04,3.2,3.3561
2021-10-05,3.2044,3.3652
2021-10-06,3.2207,3.3873
2021-10-07,3.2441,3.415
2021-10-08,3.2597,3.4362
2021-10-09,3.2658,3.4517
2021-10-10,3.2693,3.4597
2021-10-11,3.2736,3.4665
2021-10-12,3.2791,3.4796
2021-10-13,3.2884,3.4946
2021-10-14,3.2971,3.5084
2021-10-15,3.3057,3.519
2021-10-16,3.3141,3.5309
2021-10-17,3.3193,3.538
2021-10-18,3.3247,3.5444
2021-10-19,3.3396,3.5574
2021-10-20,3.3573,3.5691
2021-10-21,3.3692,3.579
2021-10-22,3.3778,3.5893
2021-10-23,3.3825,3.5986
2021-10-24,3.3847,3.6028
2021-10-25,3.3867,3.6058
2021-10-26,3.3887,3.6108
2021-10-27,3.3941,3.6168
2021-10-28,3.3989,3.6232
2021-10-29,3.4007,3.6296
2021-10-30,3.4006,3.6325
2021-10-31,3.4012,3.6336
2021-11-01,3.4023,3.6342
2021-11-02,3.4006,3.6355
2021-11-03,3.4034,3.636
2021-11-04,3.4151,3.6385
2021-11-05,3.4211,3.641
2021-11-06,3.4208,3.641
2021-11-07,3.4205,3.6425
2021-11-08,3.4223,3.6426
2021-11-09,3.4189,3.6421
2021-11-10,3.4172,3.6424
2021-11-11,3.4175,3.6432
