"State","Today","Yesterday","Last week","Last month","Last year","today_vs_yesterday","today_vs_last_month","today_vs_last_year"
"Alabama",3.7283,3.7265,3.7035,3.7783,2.7708,0,-0.05,0.96
"Alaska",4.8299,4.8322,4.8422,4.7425,3.7567,0,0.09,1.07
"Arizona",4.552,4.5436,4.4596,4.4003,3.358,0.01,0.15,1.19
"Arkansas",3.7577,3.7684,3.7404,3.8014,2.7845,-0.01,-0.04,0.97
"California",5.6286,5.623,5.5812,5.6381,4.5711,0.01,-0.01,1.06
"Colorado",4.3824,4.4094,4.4224,4.0953,3.1751,-0.03,0.29,1.21
"Connecticut",4.1453,4.142,4.0774,4.2123,3.1128,0,-0.07,1.03
"Delaware",3.9639,3.9662,3.8591,4.1594,3.1589,0,-0.2,0.81
"Florida",3.9245,3.8429,3.9555,3.9774,3.0631,0.08,-0.05,0.86
"Georgia",3.8073,3.8054,3.8114,3.9242,2.8958,0,-0.12,0.91
"Hawaii",5.4168,5.4125,5.4245,5.4496,4.4668,0,-0.03,0.95
"Idaho",4.5734,4.5526,4.4898,4.2422,3.4871,0.02,0.33,1.09
"Illinois",4.349,4.3668,4.362,4.2634,3.4932,-0.02,0.09,0.86
"Indiana",3.4766,3.4908,3.5682,3.5056,3.288,-0.01,-0.03,0.19
"Iowa",4.0327,4.05,4.125,3.7821,2.8769,-0.02,0.25,1.16
"Kansas",3.8499,3.8535,3.8606,3.7573,2.8421,0,0.09,1.01
"Kentucky",3.7115,3.6614,3.7012,3.7466,2.9223,0.05,-0.04,0.79
"Louisiana",3.6983,3.6899,3.6435,3.703,2.7196,0.01,0,0.98
"Maine",4.1189,4.1153,3.9969,4.1036,3.1424,0,0.02,0.98
"Maryland",3.9979,4.0059,3.9202,4.1764,3.1766,-0.01,-0.18,0.82
"Massachusetts",4.0759,4.0766,4.0216,4.128,3.0649,0,-0.05,1.01
"Michigan",4.2835,4.2269,4.2098,4.2301,3.3525,0.06,0.05,0.93
"Minnesota",4.1047,4.1228,4.1435,4.0422,3.0145,-0.02,0.06,1.09
"Mississippi",3.6562,3.6555,3.6451,3.6731,2.692,0,-0.02,0.96
"Missouri",3.8549,3.8674,3.8445,3.8557,2.8392,-0.01,0,1.02
"Montana",4.409,4.4098,4.3541,4.2901,3.239,0,0.12,1.17
"Nebraska",4.0377,4.0347,4.0164,3.9832,2.9568,0,0.05,1.08
"Nevada",4.8204,4.8193,4.7739,4.7836,3.7971,0,0.04,1.02
"New Hampshire",4.0465,4.0445,3.9609,4.0671,3.0448,0,-0.02,1
"New Jersey",4.0444,4.0457,3.9729,4.184,3.0596,0,-0.14,0.98
"New Mexico",4.0647,4.0616,4.1133,3.9914,3.0238,0,0.07,1.04
"New York",4.1776,4.1743,4.1336,4.2314,3.1597,0,-0.05,1.02
"North Carolina",3.7628,3.752,3.7174,3.8087,2.8594,0.01,-0.05,0.9
"North Dakota",4.0141,4.0101,3.9838,3.9158,2.9051,0,0.1,1.11
"Ohio",3.9632,3.9917,4.1435,3.8931,3.3401,-0.03,0.07,0.62
"Oklahoma",3.8239,3.8395,3.8341,3.7864,2.7039,-0.02,0.04,1.12
"Oregon",4.7748,4.7741,4.7366,4.6388,3.9771,0,0.14,0.8
"Pennsylvania",4.2023,4.1872,4.1085,4.2324,3.3144,0.02,-0.03,0.89
"Rhode Island",4.0486,4.0581,3.9704,4.1298,3.0538,-0.01,-0.08,0.99
"South Carolina",3.6564,3.6405,3.6472,3.7772,2.8345,0.02,-0.12,0.82
"South Dakota",4.0696,4.0682,4.0782,4.0406,2.9907,0,0.03,1.08
"Tennessee",3.6877,3.6589,3.6387,3.7104,2.7851,0.03,-0.02,0.9
"Texas",3.6162,3.6204,3.6378,3.6954,2.7478,0,-0.08,0.87
"Utah",4.4124,4.3996,4.3859,4.151,3.3118,0.01,0.26,1.1
"Vermont",4.1692,4.167,4.1148,4.2178,3.1073,0,-0.05,1.06
"Virginia",3.9077,3.9195,3.7717,3.9837,3.0516,-0.01,-0.08,0.86
"Washington",5.2763,5.2681,5.2262,5.1093,4.4007,0.01,0.17,0.88
"West Virginia",3.9575,3.9611,3.8705,3.8855,2.9958,0,0.07,0.96
"Wisconsin",3.906,3.9171,3.9096,3.8933,3.0487,-0.01,0.01,0.86
"Wyoming",4.4232,4.4054,4.3422,4.1403,3.1219,0.02,0.28,1.3
"District of Columbia",4.2054,4.217,4.2019,4.218,3.2714,-0.01,-0.01,0.93
